PowTotAct_Min,Inj1PosVolAct_Var,Inj1PrsAct_meanOfInjPhase,Inj1HopTmpAct_1stPCscore,Inj1HtgEd3Act_1stPCscore,ClpFceAct_1stPCscore,ClpPosAct_1stPCscore,OilTmp1Act_1stPCscore,mass
364,474.493036826248,111.914479166668,-174.795355941669,-84.6542873630771,101.158071191744,-131.59356428168,-161.666990739436,33.0265
1270,479.480975306362,122.989519736843,-168.885719082619,-71.7957949575783,-149.582466209769,-136.967734019539,-131.841928432568,33.2269
-767,474.826394945252,111.953950657895,-175.094259846898,-96.2140391267026,104.451035413873,-131.598983278497,-154.210212703886,33.0332
-707,476.559502270881,123.543907894738,-176.511513403386,-96.8790621741416,-101.533062224595,-147.623312485895,-128.113753498622,33.2004
-1032,468.672032211873,99.5225328947366,-174.781776328746,-303.48302929235,22.6642330284564,-147.629946295963,-117.362342056475,32.932
-860,475.277172857607,115.196665570175,-172.524663612776,-86.1286844900297,109.338324196377,-147.636090670874,-165.39493684627,33.0408
1211,480.229306907024,123.590048245615,-171.627700928657,-85.2102858694113,-120.508890345357,-147.647287736798,-131.841928432568,33.2737
-820,475.54929633122,110.613514254386,-171.963791561265,-88.7688823460727,98.2773831771104,-147.64793983144,-169.122638903527,33.0356
-89,468.50417826122,100.266575027383,-171.818094522057,-259.727166962516,40.2711360947459,-147.617869277744,-116.92879415854,32.9497
-738,476.243054424533,114.387892543859,-174.321350139887,-109.917804854994,120.034209630762,-147.650421628788,-157.938607202004,33.0324
-554,472.372092491602,112.343438596492,-170.965616983605,-103.93998429445,102.348521387019,-131.602714186286,-156.157324058912,33.032
-649,479.001267116426,123.485378289475,-171.354728272071,-90.1272027823,-132.431434997835,-136.97697928176,-131.841928432568,33.2406
-1626,471.822112017632,112.349193194293,-168.619806034545,-79.6729305991834,101.615939405705,-131.601828659211,-161.66589269835,33.0191
-450,473.129656857061,112.470095394738,-171.833430682507,-93.5891517171449,104.563266048116,-131.585287193477,-157.938117176339,33.0283
-203,478.165723874931,123.417021929826,-170.992577844416,-94.3884613028681,-75.2771400373322,-147.612655587675,-131.841768965259,33.2026
-639,467.919459172306,100.019493421053,-170.837729610176,-222.441852031067,80.9555696373162,-147.608115259265,-109.522015435124,32.9664
-365,479.731455603415,123.635122807018,-170.591755186876,-103.875572976762,-138.700319825232,-136.964563957005,-131.841657986086,33.2305
-688,479.636912800182,123.144459429825,-172.252583850817,-91.0402619048265,-119.401296146902,-136.971990461648,-131.841928432568,33.2317
-1407,472.993168686743,111.91478508772,-173.268652177299,-96.2121900093287,103.959631119638,-131.596898176454,-154.21082608614,33.0328
-785,469.061897376882,99.644775219299,-169.783534060475,-217.650519367034,81.6738756311626,-147.615141502537,-109.472662601126,32.9646
-483,479.208846077718,123.593528508773,-167.863636357044,-94.6786906609358,-116.606583078276,-136.973594745682,-131.841768965259,33.2289
-1176,475.261176781416,114.769170865279,-171.122739611414,-82.2083894048576,111.485604647757,-147.63257243455,-165.393462425036,33.0376
-1547,472.614683515409,114.581844298246,-170.740539295377,-90.2621774760494,118.24217313145,-147.636608734948,-157.938489564218,33.0379
607,478.963067579702,124.214362938598,-172.760101567179,-86.1486744844512,-62.8389194942939,-136.990539599163,-131.841928432568,33.2314
-899,469.578966856098,100.498400219299,-172.021160646433,-210.305317017922,89.6159959759891,-147.64084490776,-106.197920181143,32.9759
-562,470.259894505628,99.5750361842109,-168.798360105902,-338.342480198759,4.44106059510674,-147.599547803479,-120.65851139822,32.926
769,471.394516138821,115.998466008771,-172.083783143357,-110.039623479437,115.584841952154,-147.63448207526,-157.938489564218,33.0323
-1653,472.971241000557,114.680849780702,-170.015238996816,-105.122804054817,121.938228454516,-147.643627405295,-157.937199992791,33.0184
712,466.914256721075,100.708328947369,-171.69187700898,-217.099145611313,85.6601139046598,-147.634070455692,-109.471757045999,32.9655
