 

stn;time;gre000z0
STG;202107270820;648
STG;202107270830;651
STG;202107270840;738
STG;202107270850;738
STG;202107270900;492
STG;202107270910;458
STG;202107270920;626
STG;202107270930;509
STG;202107270940;544
STG;202107270950;515
STG;202107271000;482
STG;202107271010;753
STG;202107271020;741
STG;202107271030;911
STG;202107271040;567
STG;202107271050;468
STG;202107271100;646
STG;202107271110;496
STG;202107271120;772
STG;202107271130;958
STG;202107271140;864
STG;202107271150;603
STG;202107271200;385
STG;202107271210;302
STG;202107271220;399
STG;202107271230;303
STG;202107271240;278
STG;202107271250;661
STG;202107271300;821
STG;202107271310;765
STG;202107271320;607
STG;202107271330;577
STG;202107271340;700
STG;202107271350;560
STG;202107271400;458
STG;202107271410;305
STG;202107271420;464
STG;202107271430;487
STG;202107271440;693
STG;202107271450;591
STG;202107271500;568
STG;202107271510;246
STG;202107271520;463
STG;202107271530;467
STG;202107271540;253
STG;202107271550;174
STG;202107271600;177
STG;202107271610;269
STG;202107271620;226
STG;202107271630;139
STG;202107271640;146
STG;202107271650;110
STG;202107271700;93
STG;202107271710;60
STG;202107271720;27
STG;202107271730;23
STG;202107271740;26
STG;202107271750;25
STG;202107271800;24
STG;202107271810;14
STG;202107271820;7
STG;202107271830;6
STG;202107271840;4
STG;202107271850;0
STG;202107271900;0
STG;202107271910;0
STG;202107271920;0
STG;202107271930;0
STG;202107271940;0
STG;202107271950;0
STG;202107272000;0
STG;202107272010;0
STG;202107272020;0
STG;202107272030;0
STG;202107272040;0
STG;202107272050;0
STG;202107272100;0
STG;202107272110;0
STG;202107272120;0
STG;202107272130;0
STG;202107272140;0
STG;202107272150;0
STG;202107272200;0
STG;202107272210;0
STG;202107272220;0
STG;202107272230;0
STG;202107272240;0
STG;202107272250;0
STG;202107272300;0
STG;202107272310;0
STG;202107272320;0
STG;202107272330;0
STG;202107272340;0
STG;202107272350;0
STG;202107280000;0
STG;202107280010;0
STG;202107280020;0
STG;202107280030;0
STG;202107280040;0
STG;202107280050;0
STG;202107280100;0
STG;202107280110;0
STG;202107280120;0
STG;202107280130;0
STG;202107280140;0
STG;202107280150;0
STG;202107280200;0
STG;202107280210;0
STG;202107280220;0
STG;202107280230;0
STG;202107280240;0
STG;202107280250;0
STG;202107280300;0
STG;202107280310;0
STG;202107280320;0
STG;202107280330;0
STG;202107280340;0
STG;202107280350;0
STG;202107280400;0
STG;202107280410;0
STG;202107280420;5
STG;202107280430;8
STG;202107280440;10
STG;202107280450;10
STG;202107280500;10
STG;202107280510;4
STG;202107280520;5
STG;202107280530;6
STG;202107280540;17
STG;202107280550;28
STG;202107280600;33
STG;202107280610;34
STG;202107280620;26
STG;202107280630;28
STG;202107280640;43
STG;202107280650;25
STG;202107280700;34
STG;202107280710;84
STG;202107280720;120
STG;202107280730;66
STG;202107280740;54
STG;202107280750;82
STG;202107280800;103
STG;202107280810;109
STG;202107280820;227
STG;202107280830;304
STG;202107280840;275
STG;202107280850;265
STG;202107280900;208
STG;202107280910;113
STG;202107280920;62
STG;202107280930;105
STG;202107280940;149
STG;202107280950;153
STG;202107281000;140
STG;202107281010;237
STG;202107281020;308
STG;202107281030;239
STG;202107281040;200
STG;202107281050;185
STG;202107281100;192
STG;202107281110;198
STG;202107281120;182
STG;202107281130;132
STG;202107281140;190
STG;202107281150;245
STG;202107281200;286
STG;202107281210;269
STG;202107281220;221
STG;202107281230;281
STG;202107281240;239
STG;202107281250;254
STG;202107281300;266
STG;202107281310;253
STG;202107281320;250
STG;202107281330;164
STG;202107281340;302
STG;202107281350;418
STG;202107281400;339
STG;202107281410;363
STG;202107281420;268
STG;202107281430;137
STG;202107281440;69
STG;202107281450;74
STG;202107281500;62
STG;202107281510;121
STG;202107281520;360
STG;202107281530;612
STG;202107281540;536
STG;202107281550;144
STG;202107281600;71
STG;202107281610;49
STG;202107281620;62
STG;202107281630;49
STG;202107281640;112
STG;202107281650;100
STG;202107281700;88
STG;202107281710;75
STG;202107281720;76
STG;202107281730;78
STG;202107281740;87
STG;202107281750;89
STG;202107281800;59
STG;202107281810;56
STG;202107281820;47
STG;202107281830;39
STG;202107281840;21
STG;202107281850;15
STG;202107281900;5
STG;202107281910;1
STG;202107281920;0
STG;202107281930;0
STG;202107281940;0
STG;202107281950;0
STG;202107282000;0
STG;202107282010;0
STG;202107282020;0
STG;202107282030;0
STG;202107282040;0
STG;202107282050;0
STG;202107282100;0
STG;202107282110;0
STG;202107282120;0
STG;202107282130;0
STG;202107282140;0
STG;202107282150;0
STG;202107282200;0
STG;202107282210;0
STG;202107282220;0
STG;202107282230;0
STG;202107282240;0
STG;202107282250;0
STG;202107282300;0
STG;202107282310;0
STG;202107282320;0
STG;202107282330;0
STG;202107282340;0
STG;202107282350;0
STG;202107290000;0
STG;202107290010;0
STG;202107290020;0
